"","eq","cat"
"1","Gendarmerie","Justice"
"2","Cour_appel","Justice"
"3","Tribunal_gd_instance","Justice"
"4","Tribunal_instance","Justice"
"5","Prudhommes","Justice"
"6","Tribunal_commerce","Justice"
"7","Bureau_poste","Divers"
"8","Agence_postale_communale","Divers"
"9","Taxi","Transport"
"10","Aeroport","Transport"
"11","Gare_TGV","Transport"
"12","Gare_sans_TGV","Transport"
"13","Sante_court_sejour","Healthcare"
"14","Sante_moyen_sejour","Healthcare"
"15","Sante_long_sejour","Healthcare"
"16","Etablissement_psychiatrique","Healthcare"
"17","Urgences","Healthcare"
"18","Maternite","Healthcare"
"19","Structure_psychiatrique_ambulatoire","Healthcare"
"20","College","Education"
"21","Lycee_professionnel","Education"
"22","Lycee_general_techno","Education"
"23","Total_education","Global"
"24","Total_loisir","Global"
"25","Natation","Sport"
"26","Boulodrome","Sport"
"27","Tennis","Sport"
"28","Cyclisme","Sport"
"29","Athletisme","Sport"
"30","Golf","Sport"
"31","Parcours_sportif","Sport"
"32","Sports_de_glace","Sport"
"33","Skate_park","Sport"
